ID_Ativo,Frequencia_Falhas,Tempo_Operacao,Numero_Clientes_Afetados,Tipo_Ativo,Localidade,Historico_Manutencao,Impacto_DEC_FEC,Data_Evento,Frequencia_Falhas_Norm,Tempo_Operacao_Norm,Impacto_DEC_FEC_Norm,Numero_Clientes_Afetados_Norm,Criticidade,Criticidade_Cenário 1,Criticidade_Cenário 2
A-0001,4,17.8,200,Cabo,Zona Norte,Não,25.88,2009-01-20,0.5,0.36974789915966394,0.5458579881656804,0.15789473684210525,0.4534964499658475,0.46652166004988105,0.44047123988181386
A-0002,1,28.1,1000,Transformador,Centro,Não,10.44,2015-04-23,0.125,0.5861344537815127,0.2195688926458157,1.0,0.33309755855004725,0.286984113171896,0.3792110039281985
A-0003,3,8.8,200,Cabo,Centro,Sim,19.64,2022-07-17,0.375,0.18067226890756308,0.4139898562975486,0.15789473684210525,0.32612088435498776,0.3455536574642314,0.306688111245744
A-0004,3,4.8,1000,Isolador,Zona Norte,Não,24.7,2024-07-12,0.375,0.09663865546218488,0.5209213863060017,1.0,0.4256041469842375,0.453440281438019,0.39776801253045596
A-0005,1,19.3,200,Seccionalizador,Zona Norte,Não,9.04,2010-11-02,0.125,0.40126050420168075,0.18998309382924763,0.15789473684210525,0.20303650267332096,0.17541045225315288,0.23066255309348904
A-0006,2,1.9,100,Seccionalizador,Centro,Não,11.44,2024-07-09,0.25,0.03571428571428572,0.24070160608622143,0.05263157894736842,0.1846164968634604,0.20604506829203184,0.16318792543488897
A-0007,1,4.6,500,Transformador,Centro,Não,9.88,2023-04-19,0.125,0.09243697478991597,0.2077345731191885,0.47368421052631576,0.17817618794637133,0.18143249046737972,0.1749198854253629
A-0008,1,7.4,200,Seccionalizador,Zona Norte,Não,8.43,2021-01-28,0.125,0.1512605042016807,0.17709213863060014,0.15789473684210525,0.14916921611372672,0.14654316569355863,0.15179526653389477
A-0009,2,26.4,500,Cabo,Zona Norte,Não,16.7,2002-12-11,0.25,0.5504201680672269,0.35185967878275565,0.47368421052631576,0.36301035830090367,0.332968341494181,0.3930523751076263
A-0010,2,4.8,1000,Transformador,Centro,Não,17.83,2021-11-22,0.25,0.09663865546218488,0.3757396449704141,1.0,0.33204962458356124,0.3473857590373427,0.3167134901297797
A-0011,1,12.3,50,Isolador,Centro,Sim,4.14,2018-08-28,0.125,0.25420168067226895,0.08643279797125951,0.0,0.12677017552583164,0.11385000745860475,0.13969034359305854
