ID_Ativo,Frequencia_Falhas,Tempo_Operacao,Numero_Clientes_Afetados,Tipo_Ativo,Localidade,Historico_Manutencao,Impacto_DEC_FEC,Data_Evento
A-0001,6,6.056947186203755,1000,Religador,Zona Sul,Não,39.43876819026196,1990-01-01
A-0002,3,39.19528014350867,50,Religador,Zona Sul,Sim,45.637302835589324,1990-01-02
A-0003,2,49.592707175533256,100,Seccionalizador,Zona Oeste,Não,0.15747189406644102,1990-01-03
A-0004,6,21.79150901964839,500,Seccionalizador,Zona Oeste,Sim,45.27154296641139,1990-01-04
A-0005,6,4.5977080735893985,50,Seccionalizador,Zona Oeste,Não,9.151705634290547,1990-01-05
A-0006,6,19.610090691748415,50,Seccionalizador,Centro,Sim,38.275956983450605,1990-01-06
A-0007,0,12.974493218747973,500,Seccionalizador,Zona Sul,Sim,49.80871749300317,1990-01-07
A-0008,8,3.4170388090220474,200,Religador,Zona Norte,Sim,31.187320850810423,1990-01-08
A-0009,6,34.98602185277958,1000,Transformador,Zona Sul,Não,27.70200329833406,1990-01-09
A-0010,4,3.4757678395861586,50,Cabo,Zona Sul,Sim,43.288631618578336,1990-01-10
A-0011,1,48.55879183928528,100,Isolador,Zona Sul,Sim,41.86183513552456,1990-01-11
A-0012,6,33.27425773299,200,Isolador,Centro,Sim,36.32320176067819,1990-01-12
A-0013,5,3.8454449906651145,1000,Transformador,Zona Oeste,Não,17.503687978756826,1990-01-13
A-0014,9,36.58690960096004,50,Seccionalizador,Zona Sul,Sim,24.598157278202574,1990-01-14
A-0015,6,14.18332958154729,200,Seccionalizador,Centro,Sim,0.8691961676759286,1990-01-15
A-0016,6,37.43002877280111,50,Seccionalizador,Zona Oeste,Sim,25.46317796381594,1990-01-16
A-0017,9,23.63011109473789,1000,Transformador,Zona Sul,Não,7.35182587811093,1990-01-17
A-0018,5,37.44892332536545,200,Religador,Zona Sul,Não,24.498965469712303,1990-01-18
A-0019,0,23.102306853048294,50,Isolador,Zona Sul,Não,38.16865756350855,1990-01-19
A-0020,1,26.46428712899687,200,Cabo,Zona Norte,Sim,25.517057013405243,1990-01-20
A-0021,4,9.418331921455383,500,Cabo,Zona Norte,Sim,16.50429842691133,1990-01-21
A-0022,2,35.00831033213802,500,Isolador,Centro,Não,15.921302839372608,1990-01-22
A-0023,6,9.374900957232414,200,Cabo,Zona Norte,Não,24.925989654202013,1990-01-23
A-0024,2,34.88597624958378,100,Isolador,Zona Oeste,Não,26.723352346339972,1990-01-24
A-0025,1,38.66485706055338,500,Transformador,Zona Norte,Não,37.32356152766228,1990-01-25
A-0026,2,5.2927847502075,50,Seccionalizador,Centro,Sim,36.968565080742316,1990-01-26
A-0027,7,1.3492306345159941,200,Transformador,Zona Oeste,Não,48.533783092166075,1990-01-27
A-0028,0,45.045057248726934,500,Transformador,Zona Sul,Sim,31.40181185401319,1990-01-28
A-0029,4,22.146502535513118,50,Transformador,Zona Oeste,Sim,6.224446090001462,1990-01-29
A-0030,3,48.67730831150287,50,Transformador,Zona Sul,Não,10.406273322580295,1990-01-30
A-0031,5,20.221991062435382,50,Isolador,Zona Norte,Não,11.69071144550562,1990-01-31
A-0032,9,27.07239002420338,50,Seccionalizador,Zona Norte,Sim,49.57609314508334,1990-02-01
A-0033,4,18.37265559730413,1000,Transformador,Centro,Não,49.36595021785547,1990-02-02
A-0034,7,45.521790361026305,500,Cabo,Zona Oeste,Não,27.062997523308386,1990-02-03
A-0035,2,14.618556494448564,500,Religador,Zona Sul,Sim,7.201356184580366,1990-02-04
A-0036,3,4.459474418676766,500,Cabo,Zona Oeste,Não,32.41470874533709,1990-02-05
A-0037,4,47.76248883815651,50,Seccionalizador,Centro,Não,1.2643818160050058,1990-02-06
A-0038,0,37.599127112632125,200,Religador,Zona Oeste,Sim,12.758297871318753,1990-02-07
A-0039,5,17.878996946042506,100,Transformador,Zona Sul,Não,0.4959198228558781,1990-02-08
A-0040,2,49.06222109898536,1000,Cabo,Zona Norte,Não,6.188115870717642,1990-02-09
A-0041,3,19.034862725453536,50,Transformador,Zona Norte,Sim,39.1752024239787,1990-02-10
A-0042,2,4.9492107499080005,1000,Transformador,Zona Sul,Não,34.06470321403413,1990-02-11
A-0043,5,7.7938813063699115,200,Religador,Zona Oeste,Não,46.98976609632184,1990-02-12
A-0044,7,8.435706679271416,100,Religador,Zona Sul,Não,4.3803222950624,1990-02-13
A-0045,2,40.0670950537871,200,Religador,Zona Sul,Sim,31.53987969344628,1990-02-14
A-0046,0,19.199166535282327,100,Transformador,Zona Oeste,Não,25.873370227140597,1990-02-15
A-0047,8,34.26200040742783,200,Transformador,Centro,Sim,45.904129993528805,1990-02-16
A-0048,1,29.130623144334738,1000,Seccionalizador,Zona Oeste,Não,29.247704385688593,1990-02-17
A-0049,2,29.28567347574927,500,Transformador,Zona Norte,Não,28.26842766347707,1990-02-18
A-0050,5,39.139684605520955,1000,Seccionalizador,Centro,Sim,42.89553580572053,1990-02-19
A-0051,5,1.5670960911516558,200,Seccionalizador,Zona Oeste,Não,27.14544488348353,1990-02-20
A-0052,0,35.774637379891104,200,Religador,Zona Oeste,Não,32.81855592525569,1990-02-21
A-0053,4,8.85214565008951,200,Religador,Centro,Sim,47.34310381962299,1990-02-22
A-0054,9,8.418732662718432,100,Isolador,Zona Oeste,Sim,0.509179197787063,1990-02-23
A-0055,7,29.565802731445107,500,Transformador,Zona Norte,Sim,30.465536632482042,1990-02-24
A-0056,6,31.434193395366066,100,Transformador,Zona Sul,Não,28.725214846191605,1990-02-25
A-0057,5,15.64958066359857,100,Transformador,Centro,Sim,35.45417122420668,1990-02-26
A-0058,3,4.574707619687318,1000,Isolador,Zona Oeste,Não,40.91249807252593,1990-02-27
A-0059,1,19.9141085068189,1000,Transformador,Centro,Sim,15.50071905841116,1990-02-28
A-0060,8,18.31120098192359,500,Transformador,Centro,Não,30.585610039860782,1990-03-01
A-0061,0,11.853010593473655,100,Cabo,Centro,Sim,20.502671078039715,1990-03-02
A-0062,9,43.57043144390593,200,Cabo,Zona Oeste,Não,3.1362262990479897,1990-03-03
A-0063,7,2.9960508821807017,200,Cabo,Zona Norte,Sim,41.40614883778193,1990-03-04
A-0064,5,19.747114020316022,100,Isolador,Zona Sul,Não,47.24760459515488,1990-03-05
A-0065,1,20.554864672134357,50,Seccionalizador,Zona Oeste,Não,42.754971294281106,1990-03-06
A-0066,4,40.9803190917644,100,Cabo,Zona Oeste,Não,48.814026174441956,1990-03-07
A-0067,5,4.526522163490451,500,Transformador,Zona Sul,Não,17.303547482495237,1990-03-08
A-0068,3,17.240938729086444,50,Religador,Zona Oeste,Sim,15.490945858891575,1990-03-09
A-0069,7,6.447612971746045,200,Religador,Zona Norte,Sim,26.84956660032952,1990-03-10
A-0070,5,7.328773403910118,200,Religador,Zona Norte,Sim,16.972843480571015,1990-03-11
A-0071,2,15.60272545660943,50,Isolador,Centro,Sim,16.612294290088673,1990-03-12
A-0072,8,6.793074287174763,100,Cabo,Zona Oeste,Sim,6.88583544775584,1990-03-13
A-0073,7,14.94654851299789,500,Transformador,Zona Oeste,Não,25.186165914739238,1990-03-14
A-0074,6,5.1572169979635785,1000,Religador,Zona Oeste,Não,29.49552651954465,1990-03-15
A-0075,5,11.680449717145327,50,Transformador,Zona Norte,Sim,39.72819680449434,1990-03-16
A-0076,0,33.849815784600494,100,Religador,Zona Sul,Sim,15.071988067678266,1990-03-17
A-0077,0,19.369049231226256,1000,Cabo,Zona Norte,Sim,20.93032081618263,1990-03-18
A-0078,1,35.31667184026818,100,Isolador,Zona Oeste,Não,43.27417720046915,1990-03-19
A-0079,2,5.811627315607405,200,Transformador,Zona Sul,Sim,39.53397405875549,1990-03-20
A-0080,6,42.85389972409872,500,Seccionalizador,Centro,Sim,30.14169068222861,1990-03-21
A-0081,9,32.7776038648986,200,Transformador,Zona Oeste,Sim,34.13133381278513,1990-03-22
A-0082,1,23.802910283528735,200,Isolador,Zona Sul,Sim,4.619007743310599,1990-03-23
A-0083,0,20.914425843232216,1000,Religador,Zona Sul,Sim,2.4009558631835235,1990-03-24
A-0084,8,13.499089017037756,1000,Religador,Zona Norte,Não,3.9272480119986186,1990-03-25
A-0085,1,47.95228809143834,500,Isolador,Zona Norte,Não,19.56203662599837,1990-03-26
A-0086,6,39.898384762786115,500,Religador,Zona Sul,Sim,34.424154194317765,1990-03-27
A-0087,6,5.296162989057417,50,Cabo,Zona Sul,Sim,1.4759745310374828,1990-03-28
A-0088,1,21.35295963678396,200,Cabo,Zona Norte,Não,15.43490631624485,1990-03-29
A-0089,6,14.490112637730043,1000,Transformador,Zona Sul,Sim,25.352330254178092,1990-03-30
A-0090,7,4.767129250898826,1000,Transformador,Zona Sul,Não,38.190879183317925,1990-03-31
A-0091,0,20.340338592216256,500,Transformador,Zona Norte,Não,27.55159744303025,1990-04-01
A-0092,3,44.23489058138131,50,Cabo,Zona Oeste,Não,21.965632117180668,1990-04-02
