ID_Ativo,Frequencia_Falhas,Tempo_Operacao,Numero_Clientes_Afetados,Tipo_Ativo,Localidade,Historico_Manutencao,Impacto_DEC_FEC,Data_Evento,Ano
A-0001,0.5,0.36974789915966394,0.15789473684210525,Cabo,Zona Norte,Não,0.5458579881656804,2009-01-20,2009
A-0002,0.125,0.5861344537815127,1.0,Transformador,Centro,Não,0.2195688926458157,2015-04-23,2015
A-0003,0.375,0.18067226890756308,0.15789473684210525,Cabo,Centro,Sim,0.4139898562975486,2022-07-17,2022
A-0004,0.375,0.09663865546218488,1.0,Isolador,Zona Norte,Não,0.5209213863060017,2024-07-12,2024
A-0005,0.125,0.40126050420168075,0.15789473684210525,Seccionalizador,Zona Norte,Não,0.18998309382924763,2010-11-02,2010
A-0006,0.25,0.03571428571428572,0.05263157894736842,Seccionalizador,Centro,Não,0.24070160608622143,2024-07-09,2024
A-0007,0.125,0.09243697478991597,0.47368421052631576,Transformador,Centro,Não,0.2077345731191885,2023-04-19,2023
A-0008,0.125,0.1512605042016807,0.15789473684210525,Seccionalizador,Zona Norte,Não,0.17709213863060014,2021-01-28,2021
A-0009,0.25,0.5504201680672269,0.47368421052631576,Cabo,Zona Norte,Não,0.35185967878275565,2002-12-11,2002
A-0010,0.25,0.09663865546218488,1.0,Transformador,Centro,Não,0.3757396449704141,2021-11-22,2021
A-0011,0.125,0.25420168067226895,0.0,Isolador,Centro,Sim,0.08643279797125951,2018-08-28,2018
A-0012,0.0,0.1512605042016807,0.0,Transformador,Zona Oeste,Sim,0.03888419273034657,2018-03-06,2018
A-0013,0.5,0.0546218487394958,0.47368421052631576,Transformador,Zona Norte,Sim,0.5281065088757396,2024-03-25,2024
A-0014,0.25,0.2521008403361345,0.05263157894736842,Religador,Zona Sul,Sim,0.20477599323753168,2015-09-13,2015
A-0015,0.125,0.13445378151260504,0.05263157894736842,Religador,Zona Norte,Não,0.15997464074387152,2019-09-11,2019
A-0016,0.375,0.10924369747899161,0.0,Transformador,Centro,Sim,0.3404480135249366,2023-01-23,2023
A-0017,0.25,0.046218487394957986,0.0,Seccionalizador,Zona Norte,Sim,0.17772612003381236,2023-10-25,2023
A-0018,0.75,0.18067226890756308,0.47368421052631576,Religador,Zona Norte,Não,0.8349535080304312,2023-05-29,2023
A-0019,0.125,0.4663865546218488,0.05263157894736842,Isolador,Zona Oeste,Não,0.1927303465765004,2009-01-22,2009
A-0020,0.125,0.10084033613445378,0.15789473684210525,Cabo,Zona Sul,Não,0.19695688926458155,2022-08-30,2022
A-0021,0.25,0.05882352941176471,0.15789473684210525,Religador,Centro,Sim,0.27789518174133554,2022-05-30,2022
A-0022,0.25,0.02941176470588236,0.15789473684210525,Transformador,Zona Oeste,Sim,0.3045224006762468,2024-12-12,2024
