ID_Ativo,Frequencia_Falhas,Tempo_Operacao,Numero_Clientes_Afetados,Tipo_Ativo,Localidade,Historico_Manutencao,Impacto_DEC_FEC,Data_Evento
A-0001,4,17.8,200,Cabo,Zona Norte,Não,25.88,2009-01-20
A-0002,1,28.1,1000,Transformador,Centro,Não,10.44,2015-04-23
A-0003,3,8.8,200,Cabo,Centro,Sim,19.64,2022-07-17
A-0004,3,4.8,1000,Isolador,Zona Norte,Não,24.7,2024-07-12
A-0005,1,19.3,200,Seccionalizador,Zona Norte,Não,9.04,2010-11-02
A-0006,2,1.9,100,Seccionalizador,Centro,Não,11.44,2024-07-09
A-0007,1,4.6,500,Transformador,Centro,Não,9.88,2023-04-19
A-0008,1,7.4,200,Seccionalizador,Zona Norte,Não,8.43,2021-01-28
A-0009,2,26.4,500,Cabo,Zona Norte,Não,16.7,2002-12-11
A-0010,2,4.8,1000,Transformador,Centro,Não,17.83,2021-11-22
A-0011,1,12.3,50,Isolador,Centro,Sim,4.14,2018-08-28
A-0012,0,7.4,50,Transformador,Zona Oeste,Sim,1.89,2018-03-06
A-0013,4,2.8,500,Transformador,Zona Norte,Sim,25.04,2024-03-25
A-0014,2,12.2,100,Religador,Zona Sul,Sim,9.74,2015-09-13
A-0015,1,6.6,100,Religador,Zona Norte,Não,7.62,2019-09-11
A-0016,3,5.4,50,Transformador,Centro,Sim,16.16,2023-01-23
A-0017,2,2.4,50,Seccionalizador,Zona Norte,Sim,8.46,2023-10-25
A-0018,6,8.8,500,Religador,Zona Norte,Não,39.56,2023-05-29
A-0019,1,22.4,100,Isolador,Zona Oeste,Não,9.17,2009-01-22
A-0020,1,5.0,200,Cabo,Zona Sul,Não,9.37,2022-08-30
A-0021,2,3.0,200,Religador,Centro,Sim,13.2,2022-05-30
A-0022,2,1.6,200,Transformador,Zona Oeste,Sim,14.46,2024-12-12
A-0023,1,1.4,50,Seccionalizador,Zona Norte,Não,6.55,2024-01-09
A-0024,3,7.5,500,Cabo,Zona Oeste,Não,19.44,2021-03-18
A-0025,4,8.9,50,Religador,Zona Oeste,Sim,16.35,2022-06-20
A-0026,1,11.2,500,Seccionalizador,Centro,Não,7.16,2015-11-02
A-0027,3,7.8,500,Seccionalizador,Zona Norte,Não,20.4,2023-06-26
A-0028,1,9.6,200,Seccionalizador,Zona Norte,Não,9.96,2024-02-16
A-0029,4,22.2,200,Transformador,Zona Sul,Não,25.21,2012-03-01
A-0030,4,19.3,200,Isolador,Zona Norte,Sim,23.38,2021-12-25
A-0031,2,18.6,200,Seccionalizador,Zona Oeste,Não,13.07,2015-08-02
A-0032,0,16.7,500,Cabo,Zona Sul,Não,1.33,2019-09-16
A-0033,0,13.3,500,Religador,Centro,Sim,3.52,2014-01-10
A-0034,2,1.8,200,Cabo,Centro,Não,14.62,2024-02-10
A-0035,2,7.0,200,Transformador,Zona Sul,Sim,11.8,2019-01-15
A-0036,2,10.3,1000,Transformador,Centro,Não,14.03,2022-05-04
A-0037,1,3.9,1000,Cabo,Zona Sul,Sim,10.03,2024-05-15
A-0038,5,24.8,200,Isolador,Zona Norte,Não,29.33,2011-04-29
A-0039,4,6.4,200,Transformador,Zona Norte,Sim,23.22,2022-05-26
A-0040,0,1.6,100,Transformador,Centro,Não,3.22,2024-10-14
A-0041,1,6.1,1000,Cabo,Zona Sul,Não,9.66,2021-06-14
A-0042,2,11.4,100,Transformador,Centro,Não,10.48,2016-03-12
A-0043,2,3.9,200,Isolador,Zona Sul,Não,12.6,2024-09-20
A-0044,0,7.5,100,Isolador,Zona Norte,Não,2.14,2024-08-11
A-0045,2,1.7,100,Isolador,Zona Sul,Não,13.63,2024-04-19
A-0046,2,5.8,200,Religador,Zona Norte,Sim,15.41,2020-06-20
A-0047,3,8.4,1000,Isolador,Centro,Sim,25.19,2018-12-02
A-0048,1,7.8,50,Isolador,Zona Sul,Sim,7.53,2019-03-09
A-0049,0,14.7,200,Religador,Centro,Sim,2.92,2016-08-15
A-0050,2,3.5,50,Seccionalizador,Zona Norte,Não,11.31,2022-08-08
A-0051,2,10.9,100,Transformador,Centro,Sim,13.93,2023-01-24
A-0052,1,12.6,200,Isolador,Zona Sul,Não,6.55,2023-09-13
A-0053,3,4.6,200,Transformador,Zona Oeste,Não,18.59,2022-09-28
A-0054,2,3.9,100,Cabo,Zona Norte,Não,12.68,2024-05-31
A-0055,3,24.9,200,Transformador,Zona Norte,Não,19.31,2021-11-27
A-0056,2,6.5,50,Religador,Zona Sul,Não,9.13,2021-09-22
A-0057,0,11.3,200,Transformador,Centro,Sim,2.93,2015-12-22
A-0058,2,11.6,1000,Transformador,Zona Oeste,Sim,17.8,2015-04-26
A-0059,1,2.2,1000,Transformador,Centro,Não,9.28,2024-02-08
A-0060,1,9.7,200,Seccionalizador,Zona Oeste,Não,9.27,2021-04-21
A-0061,3,9.4,200,Seccionalizador,Zona Sul,Não,17.71,2024-07-22
A-0062,1,25.0,1000,Cabo,Zona Sul,Não,11.6,2017-12-11
A-0063,4,9.4,50,Religador,Zona Sul,Não,18.4,2020-10-05
A-0064,2,14.3,500,Transformador,Zona Norte,Não,15.41,2023-07-07
A-0065,0,14.7,1000,Transformador,Zona Norte,Sim,0.16,2016-10-01
A-0066,4,6.7,50,Transformador,Centro,Não,16.58,2024-05-28
A-0067,5,31.2,100,Transformador,Zona Sul,Não,26.24,2007-03-24
A-0068,2,4.4,1000,Seccionalizador,Zona Sul,Sim,15.92,2024-05-21
A-0069,0,1.7,200,Cabo,Zona Oeste,Sim,2.54,2024-01-05
A-0070,0,5.6,50,Isolador,Zona Norte,Não,0.31,2024-08-25
A-0071,1,1.3,100,Religador,Centro,Sim,8.79,2024-05-17
A-0072,1,4.6,200,Transformador,Zona Norte,Sim,9.23,2023-02-02
A-0073,2,8.4,200,Cabo,Zona Sul,Não,11.53,2023-03-04
A-0074,2,10.1,500,Isolador,Centro,Sim,15.6,2021-01-13
A-0075,5,6.1,1000,Cabo,Centro,Não,38.64,2024-04-27
A-0076,1,4.6,100,Seccionalizador,Zona Oeste,Sim,7.82,2023-03-29
A-0077,2,5.5,200,Isolador,Zona Norte,Não,12.16,2024-03-12
